clubId,firstName,lastName,position,birthYear,niveau,isJiff
toulouse,Cyril,Baille,PILIER_GAUCHE,1995,90,true
toulouse,Rodrigue,Neti,PILIER_GAUCHE,1996,72,true
toulouse,Julien,Marchand,TALONNEUR,1995,87,true
toulouse,Peato,Mauvaka,TALONNEUR,1996,82,true
toulouse,Guillaume,Cramont,TALONNEUR,2000,62,true
toulouse,Dorian,Aldegheri,PILIER_DROIT,1992,80,true
toulouse,Joel,Merkler,PILIER_DROIT,2002,70,false
toulouse,Emmanuel,Meafou,DEUXIEME_LIGNE_GAUCHE,1998,88,false
toulouse,Joshua,Brennan,DEUXIEME_LIGNE_GAUCHE,2000,74,true
toulouse,Thibaud,Flament,DEUXIEME_LIGNE_DROITE,1997,87,true
toulouse,Richie,Arnold,DEUXIEME_LIGNE_DROITE,1992,77,false
toulouse,François,Cros,TROISIEME_LIGNE_AILE_GAUCHE,1994,82,true
toulouse,Anthony,Jelonch,TROISIEME_LIGNE_AILE_GAUCHE,1996,84,true
toulouse,Jack,Willis,TROISIEME_LIGNE_AILE_DROITE,1996,87,false
toulouse,Alexandre,Roumat,NUMERO_8,1998,80,true
toulouse,Théo,Ntamack,TROISIEME_LIGNE_AILE_DROITE,1997,68,true
toulouse,Antoine,Dupont,DEMI_DE_MELEE,1996,98,true
toulouse,Paul,Graou,DEMI_DE_MELEE,1998,64,true
toulouse,Romain,Ntamack,OUVREUR,1999,92,true
toulouse,Thomas,Ramos,OUVREUR,1995,88,true
toulouse,Pierre-Louis,Barassi,CENTRE_INTERIEUR,1998,80,true
toulouse,Pita,Ahki,CENTRE_INTERIEUR,1992,76,false
toulouse,Santiago,Chocobares,CENTRE_EXTERIEUR,1998,75,false
toulouse,Paul,Costes,CENTRE_EXTERIEUR,1998,68,true
toulouse,Matthis,Lebel,AILIER_GAUCHE,1999,76,true
toulouse,Juan Cruz,Mallia,AILIER_GAUCHE,1996,82,false
toulouse,Ange,Capuozzo,AILIER_DROIT,1999,84,false
toulouse,Blair,Kinghorn,ARRIERE,1996,86,false
ubb,Jefferson,Poirot,PILIER_GAUCHE,1992,77,true
ubb,Maxime,Lamothe,PILIER_GAUCHE,1994,72,true
ubb,Connor,Sa,TALONNEUR,1996,68,false
ubb,Clément,Maynadier,TALONNEUR,1992,62,true
ubb,Maks,van Dyk,PILIER_DROIT,1992,64,false
ubb,Sipili,Falatea,PILIER_DROIT,1996,75,false
ubb,Lekso,Kaulashvili,PILIER_DROIT,1998,72,false
ubb,Adam,Coleman,DEUXIEME_LIGNE_GAUCHE,1991,75,false
ubb,Cyril,Cazeaux,DEUXIEME_LIGNE_DROITE,1995,77,true
